243|61|3
982|74|1
570|23|5
583|86|3
609|33|5
611|87|1
357|99|1
776|35|1
418|4|4
495|37|2
593|81|5
561|23|2
512|56|3
329|26|2
86|68|5
178|56|1
851|41|4
293|33|3
979|94|1
3|32|2
241|93|2
988|71|4
475|69|1
537|9|5
255|87|2
692|70|5
732|29|2
868|62|4
84|95|3
609|24|4
344|76|3
455|76|5
190|45|3
432|47|4
413|60|3
728|60|5
1000|65|1
259|31|3
189|57|2
763|77|4
552|37|4
200|95|3
368|38|3
982|3|5
716|91|3
476|82|4
90|90|1
496|41|3
652|68|4
303|50|4
736|39|2
78|72|4
876|73|2
168|41|5
10|12|5
956|35|5
171|98|3
427|54|3
912|74|4
551|15|2
904|97|5
720|15|4
944|25|2
342|96|3
722|2|4
678|19|3
91|85|1
696|13|2
554|51|1
611|71|4
260|43|5
562|14|3
354|10|2
496|17|3
802|34|5
412|29|3
9|70|1
128|76|2
950|63|3
804|90|2
340|96|5
660|18|1
874|66|4
135|24|4
37|65|2
170|92|4
214|59|5
543|8|1
6|54|1
754|88|5
689|21|5
777|59|2
208|69|1
103|75|2
537|47|2
939|93|4
654|12|1
938|70|5
68|31|3
957|67|1
554|17|2
600|48|5
887|95|3
569|20|5
612|44|1
595|40|5
176|90|1
954|94|2
685|69|1
431|25|2
40|1|4
419|92|4
87|52|2
629|51|4
276|2|3
655|47|5
172|45|2
911|86|2
446|80|5
118|51|2
199|61|3
527|4|4
695|89|3
40|52|3
235|74|3
941|79|3
617|78|1
330|60|4
185|75|2
470|96|2
352|91|3
44|49|3
833|86|5
221|67|2
336|22|4
205|50|5
592|94|4
977|71|1
235|79|3
743|81|2
802|97|5
334|33|5
958|58|1
778|1|4
11|2|1
901|54|3
569|8|1
589|53|2
129|20|5
501|79|2
142|1|4
448|46|2
758|60|1
835|7|5
609|36|5
57|59|4
454|94|2
415|51|5
740|76|4
430|7|3
94|87|1
818|1|4
184|34|3
109|72|5
911|62|5
479|9|2
19|10|1
354|43|4
555|5|2
199|66|1
792|4|3
176|78|3
34|59|1
124|46|5
549|100|4
349|17|3
633|69|5
697|85|5
243|47|1
732|55|5
832|3|2
272|16|2
738|91|5
562|92|5
625|70|5
46|1|1
84|53|3
83|3|5
17|69|3
535|4|4
826|40|4
999|64|2
784|89|2
160|77|2
229|7|2
847|88|5
13|34|2
7|89|1
431|90|4
571|82|5
891|97|5
682|41|3
141|58|1
553|52|3
67|87|4
70|89|3
714|99|2
345|89|4
759|44|4
551|32|2
662|42|1
527|51|1
355|13|4
926|19|2
551|35|2
39|29|5
538|39|3
422|42|1
501|19|1
501|61|4
545|73|2
961|2|3
626|91|5
900|79|5
628|44|5
872|38|5
740|78|3
962|74|3
373|78|5
110|69|5
905|31|1
233|98|2
662|99|2
163|84|1
575|57|5
248|90|3
949|86|3
631|42|2
43|8|3
675|35|2
471|10|4
892|19|3
504|51|1
822|68|2
935|12|1
280|80|4
906|35|1
27|21|1
349|17|5
919|60|2
940|74|4
153|84|3
641|93|1
42|67|2
483|2|3
240|78|1
325|40|3
656|37|2
293|85|3
160|1|5
417|4|2
424|4|3
498|44|3
440|87|4
327|50|4
78|67|2
827|79|4
531|56|4
775|20|3
162|8|3
375|97|5
165|31|5
471|51|3
685|96|2
477|26|3
499|74|5
286|7|2
981|9|5
881|66|2
364|0|4
932|51|1
69|25|2
63|20|5
112|70|2
512|41|2
340|48|2
10|39|5
440|62|1
932|36|2
899|66|1
810|72|4
671|32|1
707|44|1
525|45|3
870|65|3
769|86|5
390|0|3
80|92|2
552|85|3
841|20|3
724|24|3
526|75|2
276|83|5
623|95|4
759|22|4
561|44|4
312|62|1
143|82|4
15|20|5
63|71|2
149|9|3
983|17|3
450|20|4
700|17|2
833|43|2
102|85|5
142|77|1
806|11|2
612|71|1
804|15|2
296|79|5
649|19|3
216|25|5
289|35|3
144|79|5
617|46|1
869|7|4
273|21|2
465|25|5
922|75|4
298|52|1
697|41|3
941|4|4
685|61|3
40|35|3
331|83|1
506|98|4
554|55|5
391|26|2
